New York,28,8175133
Los Angeles,0,3792621
Chicago,4,2695598
Houston,6,2099451
Philadelphia,21,1526006
Phoenix,15,1445632
San Antonio,6,1327407
San Diego,0,1307402
Dallas,6,1197816
San Jose,0,945942
Jacksonville,23,821784
Indianapolis,29,820445
San Francisco,0,805235
Austin,6,790390
Columbus,14,787033
Fort Worth,6,741206
Charlotte,25,731424
Detroit,17,717777
El Paso,6,649121
Memphis,16,646889
Baltimore,1,620961
Boston,10,617594
Seattle,3,608660
Washington,13,601723
Nashville-Davidson,5,601222
Denver,8,600158
Louisville-Jefferson County,12,597337
Milwaukee,27,594833
Portland,24,583776
Las Vegas,9,583756
Oklahoma City,22,579999
Albuquerque,2,545852
Tucson,15,520116
Fresno,0,494665
Sacramento,0,466488
Long Beach,0,462257
Kansas City,18,459787
Mesa,15,439041
Virginia Beach,11,437994
Atlanta,20,420003
Colorado Springs,8,416427
Omaha,7,408958
Raleigh,25,403892
Miami,23,399457
Cleveland,14,396815
Tulsa,22,391906
Oakland,0,390724
Minneapolis,26,382578
Wichita,19,375571
Arlington,6,365438
